,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.581,0.179,0.27,0.303,0.347,0.617,0.133,0.221,0.162,0.138,0.118,0.867,0.251,0.779,0.383,0.624,0.231,0.231,0.0
D025_RawMSA,0.708,0.287,0.369,0.446,0.563,0.317,0.077,0.267,0.416,0.325,0.254,0.923,0.331,0.733,0.683,0.78,0.414,0.413,0.5
D033_DynaMine,0.502,0.016,0.064,0.031,0.021,0.983,0.161,0.013,0.004,0.016,0.051,0.839,0.212,0.987,0.017,0.707,0.271,0.271,0.5
