,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.502,0.163,0.196,0.28,0.493,0.0,0.019,0.995,0.005,0.025,0.144,0.981,0.163,0.005,1.0,0.624,0.231,0.231,-0.23
D025_RawMSA,0.509,0.165,0.198,0.283,0.497,0.0,0.004,0.981,0.019,0.054,0.161,0.996,0.165,0.019,1.0,0.78,0.414,0.413,0.015
D033_DynaMine,0.502,0.163,0.196,0.28,0.493,0.0,0.026,0.997,0.003,0.02,0.137,0.974,0.163,0.003,1.0,0.707,0.271,0.271,-0.082
