,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.5,0.162,0.195,0.279,0.492,0.0,0.0,0.999,0.001,0.012,0.162,1.0,0.162,0.001,1.0,0.624,0.231,0.231,-0.262
D025_RawMSA,0.5,0.001,0.005,0.002,0.001,0.999,0.162,0.0,0.001,0.023,0.838,0.838,1.0,1.0,0.001,0.78,0.414,0.413,0.898
D033_DynaMine,0.625,0.222,0.327,0.364,0.41,0.552,0.117,0.197,0.251,0.217,0.189,0.883,0.306,0.803,0.448,0.707,0.271,0.271,0.301
