,D009_GlobPlot,D009_GlobPlot,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine,D033_DynaMine,D033_DynaMine
,tn,fp,fn,tp,tn,fp,fn,tp,tn,fp,fn,tp
0.802,,,,,276406.0,5585.0,46850.0,7754.0,,,,
0.801,,,,,276276.0,5715.0,46741.0,7863.0,,,,
0.8,,,,,276150.0,5841.0,46632.0,7972.0,,,,
0.799,,,,,276005.0,5986.0,46530.0,8074.0,,,,
0.798,,,,,275883.0,6108.0,46430.0,8174.0,,,,
0.797,,,,,275760.0,6231.0,46330.0,8274.0,,,,
0.796,,,,,275632.0,6359.0,46245.0,8359.0,,,,
0.795,,,,,275515.0,6476.0,46159.0,8445.0,,,,
0.794,,,,,275391.0,6600.0,46072.0,8532.0,,,,
0.793,,,,,275274.0,6717.0,45981.0,8623.0,,,,
0.792,,,,,275176.0,6815.0,45884.0,8720.0,,,,
0.791,,,,,275059.0,6932.0,45780.0,8824.0,,,,
0.79,,,,,274944.0,7047.0,45696.0,8908.0,,,,
0.789,,,,,274815.0,7176.0,45601.0,9003.0,,,,
0.788,,,,,274685.0,7306.0,45510.0,9094.0,,,,
0.787,,,,,274562.0,7429.0,45412.0,9192.0,,,,
0.786,,,,,274438.0,7553.0,45303.0,9301.0,,,,
0.785,,,,,274313.0,7678.0,45197.0,9407.0,,,,
0.784,,,,,274204.0,7787.0,45097.0,9507.0,,,,
0.783,,,,,274097.0,7894.0,44975.0,9629.0,,,,
0.782,,,,,273994.0,7997.0,44862.0,9742.0,,,,
0.781,,,,,273877.0,8114.0,44739.0,9865.0,,,,
0.78,,,,,273763.0,8228.0,44630.0,9974.0,,,,
0.779,,,,,273625.0,8366.0,44508.0,10096.0,,,,
0.778,,,,,273513.0,8478.0,44382.0,10222.0,,,,
0.777,,,,,273388.0,8603.0,44240.0,10364.0,,,,
0.776,,,,,273272.0,8719.0,44129.0,10475.0,,,,
0.775,,,,,273137.0,8854.0,44022.0,10582.0,,,,
0.774,,,,,272996.0,8995.0,43915.0,10689.0,,,,
0.773,,,,,272843.0,9148.0,43803.0,10801.0,,,,
0.772,,,,,272700.0,9291.0,43696.0,10908.0,,,,
0.771,,,,,272547.0,9444.0,43559.0,11045.0,,,,
0.77,,,,,272379.0,9612.0,43435.0,11169.0,,,,
0.769,,,,,272192.0,9799.0,43330.0,11274.0,,,,
0.768,,,,,271989.0,10002.0,43217.0,11387.0,,,,
0.767,,,,,271811.0,10180.0,43107.0,11497.0,,,,
0.766,,,,,271627.0,10364.0,42980.0,11624.0,,,,
0.765,,,,,271429.0,10562.0,42886.0,11718.0,,,,
0.764,,,,,271221.0,10770.0,42767.0,11837.0,,,,
0.763,,,,,271014.0,10977.0,42680.0,11924.0,,,,
0.762,,,,,270802.0,11189.0,42580.0,12024.0,,,,
0.761,,,,,270619.0,11372.0,42499.0,12105.0,,,,
0.76,,,,,270405.0,11586.0,42370.0,12234.0,,,,
0.759,,,,,270189.0,11802.0,42263.0,12341.0,,,,
0.758,,,,,269970.0,12021.0,42137.0,12467.0,,,,
0.757,,,,,269726.0,12265.0,42030.0,12574.0,,,,
0.756,,,,,269503.0,12488.0,41924.0,12680.0,,,,
0.755,,,,,269261.0,12730.0,41807.0,12797.0,,,,
0.754,,,,,269005.0,12986.0,41688.0,12916.0,,,,
0.753,,,,,268791.0,13200.0,41589.0,13015.0,,,,
0.752,,,,,268564.0,13427.0,41485.0,13119.0,,,,
0.751,,,,,268329.0,13662.0,41362.0,13242.0,,,,
0.75,,,,,268107.0,13884.0,41223.0,13381.0,,,,
0.749,,,,,267844.0,14147.0,41058.0,13546.0,,,,
0.748,,,,,267580.0,14411.0,40892.0,13712.0,,,,
0.747,,,,,267314.0,14677.0,40721.0,13883.0,,,,
0.746,,,,,267050.0,14941.0,40543.0,14061.0,,,,
0.745,,,,,266782.0,15209.0,40373.0,14231.0,,,,
0.744,,,,,266490.0,15501.0,40211.0,14393.0,,,,
0.743,,,,,266197.0,15794.0,40045.0,14559.0,,,,
0.742,,,,,265868.0,16123.0,39861.0,14743.0,,,,
0.741,,,,,265552.0,16439.0,39667.0,14937.0,,,,
0.74,,,,,265229.0,16762.0,39470.0,15134.0,,,,
0.739,,,,,264935.0,17056.0,39287.0,15317.0,,,,
0.738,,,,,264666.0,17325.0,39100.0,15504.0,,,,
0.737,,,,,264376.0,17615.0,38941.0,15663.0,,,,
0.736,,,,,264079.0,17912.0,38784.0,15820.0,,,,
0.735,,,,,263772.0,18219.0,38648.0,15956.0,,,,
0.734,,,,,263413.0,18578.0,38525.0,16079.0,,,,
0.733,,,,,263107.0,18884.0,38398.0,16206.0,,,,
0.732,,,,,262818.0,19173.0,38231.0,16373.0,,,,
0.731,,,,,262499.0,19492.0,38096.0,16508.0,,,,
0.73,,,,,262213.0,19778.0,37958.0,16646.0,,,,
0.729,,,,,261901.0,20090.0,37813.0,16791.0,,,,
0.728,,,,,261579.0,20412.0,37674.0,16930.0,,,,
0.727,,,,,261249.0,20742.0,37539.0,17065.0,281918.0,1.0,54560.0,0.0
0.726,,,,,260938.0,21053.0,37417.0,17187.0,,,,
0.725,,,,,260655.0,21336.0,37264.0,17340.0,,,,
0.724,,,,,260376.0,21615.0,37135.0,17469.0,,,,
0.723,,,,,260089.0,21902.0,36988.0,17616.0,,,,
0.722,,,,,259783.0,22208.0,36852.0,17752.0,281917.0,2.0,54560.0,0.0
0.721,,,,,259516.0,22475.0,36733.0,17871.0,,,,
0.72,,,,,259239.0,22752.0,36571.0,18033.0,,,,
0.719,,,,,258975.0,23016.0,36449.0,18155.0,,,,
0.718,,,,,258720.0,23271.0,36328.0,18276.0,,,,
0.717,,,,,258442.0,23549.0,36206.0,18398.0,281916.0,3.0,54560.0,0.0
0.716,,,,,258147.0,23844.0,36085.0,18519.0,281915.0,4.0,54560.0,0.0
0.715,,,,,257892.0,24099.0,35959.0,18645.0,281914.0,5.0,54560.0,0.0
0.714,,,,,257588.0,24403.0,35848.0,18756.0,,,,
0.713,,,,,257314.0,24677.0,35708.0,18896.0,281913.0,6.0,54560.0,0.0
0.712,,,,,257013.0,24978.0,35578.0,19026.0,,,,
0.711,,,,,256717.0,25274.0,35462.0,19142.0,281912.0,7.0,54560.0,0.0
0.71,,,,,256426.0,25565.0,35357.0,19247.0,,,,
0.709,,,,,256154.0,25837.0,35239.0,19365.0,,,,
0.708,,,,,255880.0,26111.0,35158.0,19446.0,,,,
0.707,,,,,255605.0,26386.0,35039.0,19565.0,,,,
0.706,,,,,255308.0,26683.0,34927.0,19677.0,281911.0,8.0,54560.0,0.0
0.705,,,,,255043.0,26948.0,34810.0,19794.0,,,,
0.704,,,,,254783.0,27208.0,34686.0,19918.0,,,,
0.703,,,,,254511.0,27480.0,34579.0,20025.0,,,,
0.702,,,,,254243.0,27748.0,34472.0,20132.0,281910.0,9.0,54560.0,0.0
0.701,,,,,253980.0,28011.0,34361.0,20243.0,281908.0,11.0,54560.0,0.0
0.7,,,,,253719.0,28272.0,34263.0,20341.0,281907.0,12.0,54560.0,0.0
0.699,,,,,253458.0,28533.0,34158.0,20446.0,281906.0,13.0,54560.0,0.0
0.698,,,,,253164.0,28827.0,34030.0,20574.0,281905.0,14.0,54560.0,0.0
0.697,,,,,252880.0,29111.0,33908.0,20696.0,,,,
0.696,,,,,252605.0,29386.0,33804.0,20800.0,281904.0,15.0,54560.0,0.0
0.695,,,,,252322.0,29669.0,33680.0,20924.0,281902.0,17.0,54560.0,0.0
0.694,,,,,252019.0,29972.0,33580.0,21024.0,281901.0,18.0,54560.0,0.0
0.693,,,,,251749.0,30242.0,33466.0,21138.0,,,,
0.692,,,,,251457.0,30534.0,33362.0,21242.0,,,,
0.691,,,,,251203.0,30788.0,33278.0,21326.0,281898.0,21.0,54560.0,0.0
0.69,,,,,250904.0,31087.0,33170.0,21434.0,281896.0,23.0,54560.0,0.0
0.689,,,,,250641.0,31350.0,33053.0,21551.0,281895.0,24.0,54560.0,0.0
0.688,,,,,250358.0,31633.0,32947.0,21657.0,281893.0,26.0,54560.0,0.0
