,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.524,0.075,0.203,0.141,0.108,0.907,0.155,0.044,0.049,0.08,0.133,0.845,0.288,0.956,0.093,0.624,0.231,0.231,0.114
D025_RawMSA,0.5,0.001,0.005,0.002,0.001,0.999,0.162,0.0,0.001,0.023,0.838,0.838,1.0,1.0,0.001,0.78,0.414,0.413,0.898
D033_DynaMine,0.563,0.147,0.289,0.257,0.231,0.783,0.143,0.092,0.125,0.147,0.172,0.857,0.315,0.908,0.217,0.707,0.271,0.271,0.368
