predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
auc,0.624,0.624,0.78,0.78,0.707,0.707
metric,fpr,tpr,fpr,tpr,fpr,tpr
0.711,,,0.09,0.351,0.0,0.0
0.71,,,0.091,0.352,,
0.709,,,0.092,0.355,,
0.708,,,0.093,0.356,,
0.707,,,0.094,0.358,,
0.706,,,0.095,0.36,0.0,0.0
0.705,,,0.096,0.363,,
0.704,,,0.096,0.365,,
0.703,,,0.097,0.367,,
0.702,,,0.098,0.369,0.0,0.0
0.701,,,0.099,0.371,0.0,0.0
0.7,,,0.1,0.373,0.0,0.0
0.699,,,0.101,0.374,0.0,0.0
0.698,,,0.102,0.377,0.0,0.0
0.697,,,0.103,0.379,,
0.696,,,0.104,0.381,0.0,0.0
0.695,,,0.105,0.383,0.0,0.0
0.694,,,0.106,0.385,0.0,0.0
0.693,,,0.107,0.387,,
0.692,,,0.108,0.389,,
0.691,,,0.109,0.391,0.0,0.0
0.69,,,0.11,0.393,0.0,0.0
0.689,,,0.111,0.395,0.0,0.0
0.688,,,0.112,0.397,0.0,0.0
0.687,,,0.113,0.399,0.0,0.0
0.686,,,0.114,0.401,0.0,0.0
0.685,,,0.115,0.403,0.0,0.0
0.684,,,0.116,0.405,0.0,0.0
0.683,,,0.117,0.406,0.0,0.0
0.682,,,0.118,0.408,0.0,0.0
0.681,,,0.119,0.41,0.0,0.0
0.68,,,0.12,0.412,0.0,0.0
0.679,,,0.121,0.414,0.0,0.0
0.678,,,0.122,0.416,0.0,0.0
0.677,,,0.123,0.418,0.0,0.0
0.676,,,0.124,0.42,0.0,0.0
0.675,,,0.124,0.422,0.0,0.0
0.674,,,0.125,0.424,0.0,0.0
0.673,,,0.126,0.426,0.0,0.0
0.672,,,0.127,0.428,0.0,0.0
0.671,,,0.128,0.43,0.0,0.0
0.67,,,0.129,0.432,0.0,0.0
0.669,,,0.13,0.434,0.0,0.0
0.668,,,0.131,0.435,,
0.667,,,0.132,0.437,0.0,0.0
0.666,,,0.133,0.439,0.0,0.0
0.665,,,0.134,0.44,0.0,0.0
0.664,,,0.135,0.442,0.0,0.0
0.663,,,0.136,0.443,0.0,0.0
0.662,,,0.137,0.445,0.0,0.0
0.661,,,0.138,0.447,0.0,0.0
0.66,,,0.139,0.448,0.0,0.0
0.659,,,0.14,0.45,,
0.658,,,0.141,0.451,,
0.657,,,0.142,0.453,0.0,0.0
0.656,,,0.143,0.455,0.0,0.0
