,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.5,0.162,0.195,0.279,0.492,0.0,0.0,0.999,0.001,0.012,0.162,1.0,0.162,0.001,1.0,0.624,0.231,0.231,-0.262
D025_RawMSA,0.506,0.164,0.197,0.282,0.495,0.0,0.0,0.989,0.011,0.043,0.164,1.0,0.164,0.011,1.0,0.78,0.414,0.413,0.008
D033_DynaMine,0.5,0.162,0.195,0.279,0.492,0.0,0.0,0.999,0.001,0.011,0.162,1.0,0.162,0.001,1.0,0.707,0.271,0.271,-0.137
