predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
0.713,,,0.346,0.434,0.0,0.0
0.712,,,0.348,0.432,,
0.711,,,0.351,0.431,0.0,0.0
0.71,,,0.352,0.43,,
0.709,,,0.355,0.428,,
0.708,,,0.356,0.427,,
0.707,,,0.358,0.426,,
0.706,,,0.36,0.424,0.0,0.0
0.705,,,0.363,0.423,,
0.704,,,0.365,0.423,,
0.703,,,0.367,0.422,,
0.702,,,0.369,0.42,0.0,0.0
0.701,,,0.371,0.42,0.0,0.0
0.7,,,0.373,0.418,0.0,0.0
0.699,,,0.374,0.417,0.0,0.0
0.698,,,0.377,0.416,0.0,0.0
0.697,,,0.379,0.416,,
0.696,,,0.381,0.414,0.0,0.0
0.695,,,0.383,0.414,0.0,0.0
0.694,,,0.385,0.412,0.0,0.0
0.693,,,0.387,0.411,,
0.692,,,0.389,0.41,,
0.691,,,0.391,0.409,0.0,0.0
0.69,,,0.393,0.408,0.0,0.0
0.689,,,0.395,0.407,0.0,0.0
0.688,,,0.397,0.406,0.0,0.0
0.687,,,0.399,0.405,0.0,0.0
0.686,,,0.401,0.405,0.0,0.0
0.685,,,0.403,0.404,0.0,0.0
0.684,,,0.405,0.403,0.0,0.0
0.683,,,0.406,0.402,0.0,0.0
0.682,,,0.408,0.402,0.0,0.0
0.681,,,0.41,0.401,0.0,0.0
0.68,,,0.412,0.4,0.0,0.0
0.679,,,0.414,0.399,0.0,0.0
0.678,,,0.416,0.398,0.0,0.0
0.677,,,0.418,0.398,0.0,0.021
0.676,,,0.42,0.397,0.0,0.02
0.675,,,0.422,0.396,0.0,0.02
0.674,,,0.424,0.396,0.0,0.019
0.673,,,0.426,0.395,0.0,0.016
0.672,,,0.428,0.394,0.0,0.016
0.671,,,0.43,0.394,0.0,0.016
0.67,,,0.432,0.393,0.0,0.044
0.669,,,0.434,0.392,0.0,0.043
0.668,,,0.435,0.392,,
0.667,,,0.437,0.391,0.0,0.042
0.666,,,0.439,0.39,0.0,0.054
0.665,,,0.44,0.389,0.0,0.053
0.664,,,0.442,0.388,0.0,0.063
0.663,,,0.443,0.387,0.0,0.074
0.662,,,0.445,0.386,0.0,0.072
0.661,,,0.447,0.385,0.0,0.071
0.66,,,0.448,0.385,0.0,0.068
0.659,,,0.45,0.384,,
0.658,,,0.451,0.383,,
0.657,,,0.453,0.382,0.0,0.065
0.656,,,0.455,0.382,0.0,0.062
0.655,,,0.456,0.381,0.0,0.071
0.654,,,0.458,0.38,0.0,0.068
0.653,,,0.46,0.379,0.0,0.064
0.652,,,0.461,0.379,0.0,0.062
0.651,,,0.462,0.378,,
0.65,,,0.464,0.377,0.0,0.059
0.649,,,0.466,0.377,0.0,0.066
0.648,,,0.467,0.376,0.0,0.064
0.647,,,0.469,0.376,0.0,0.078
0.646,,,0.47,0.375,0.0,0.075
0.645,,,0.472,0.375,0.0,0.078
0.644,,,0.474,0.374,0.0,0.076
0.643,,,0.476,0.374,0.0,0.079
0.642,,,0.477,0.373,0.0,0.084
0.641,,,0.479,0.373,0.0,0.091
0.64,,,0.48,0.372,0.0,0.089
0.639,,,0.482,0.372,0.0,0.086
0.638,,,0.484,0.371,0.0,0.085
0.637,,,0.485,0.371,0.0,0.093
0.636,,,0.487,0.371,0.0,0.098
0.635,,,0.489,0.37,0.0,0.097
0.634,,,0.49,0.37,0.0,0.102
0.633,,,0.492,0.369,0.0,0.1
0.632,,,0.493,0.368,0.0,0.098
0.631,,,0.495,0.368,0.0,0.1
