,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.592,0.191,0.251,0.321,0.445,0.4,0.117,0.415,0.185,0.137,0.102,0.883,0.219,0.585,0.6,0.624,0.231,0.231,-0.05
D025_RawMSA,0.715,0.285,0.358,0.443,0.583,0.262,0.068,0.308,0.43,0.327,0.249,0.932,0.317,0.692,0.738,0.78,0.414,0.413,0.465
D033_DynaMine,0.662,0.236,0.298,0.382,0.532,0.28,0.083,0.396,0.324,0.24,0.177,0.917,0.26,0.604,0.72,0.707,0.271,0.271,0.23
