,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.5,0.162,0.195,0.279,0.492,0.0,1.0,1.0,0.0,0.0,-0.838,0.0,0.162,0.0,1.0,0.624,0.231,0.231,-0.347
D025_RawMSA,0.5,0.162,0.195,0.279,0.492,0.0,1.0,1.0,0.0,0.0,-0.838,0.0,0.162,0.0,1.0,0.78,0.414,0.413,-0.023
D033_DynaMine,0.5,0.162,0.195,0.279,0.492,0.0,1.0,1.0,0.0,0.0,-0.838,0.0,0.162,0.0,1.0,0.707,0.271,0.271,-0.245
