,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.587,0.185,0.269,0.312,0.372,0.573,0.129,0.253,0.174,0.143,0.117,0.871,0.246,0.747,0.427,0.624,0.231,0.231,-0.01
D025_RawMSA,0.714,0.286,0.361,0.445,0.579,0.275,0.07,0.297,0.428,0.328,0.251,0.93,0.321,0.703,0.725,0.78,0.414,0.413,0.473
D033_DynaMine,0.66,0.238,0.304,0.384,0.52,0.318,0.088,0.362,0.32,0.24,0.179,0.912,0.267,0.638,0.682,0.707,0.271,0.271,0.24
