,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
D009_GlobPlot,0.5,0.0,0.0,0.0,0.0,1.0,0.162,0.0,0.0,-0.001,-0.162,0.838,0.0,1.0,0.0,0.624,0.231,0.231,0.468
D025_RawMSA,0.5,0.001,0.005,0.002,0.001,0.999,0.162,0.0,0.001,0.023,0.838,0.838,1.0,1.0,0.001,0.78,0.414,0.413,0.898
D033_DynaMine,0.5,0.0,0.0,0.0,0.0,1.0,0.162,0.0,0.0,-0.001,-0.162,0.838,0.0,1.0,0.0,0.707,0.271,0.271,0.727
